,z,t,theta_train
0,-1.0,0.0,0.1260202178558044
1,-1.0,0.012,0.15456992853505355
2,-1.0,0.024,0.2696181563772667
3,-1.0,0.036000000000000004,0.29708254223316
4,-1.0,0.048,0.3204474566625915
5,-1.0,0.06,0.33775315997171856
6,-1.0,0.07200000000000001,0.34874681188411494
7,-1.0,0.084,0.35820422998888396
8,-1.0,0.096,0.3657268765322913
9,-1.0,0.10800000000000001,0.37200684491623626
10,-1.0,0.12,0.38476617761027987
11,-1.0,0.132,0.3826055706756495
12,-1.0,0.14400000000000002,0.37801804044509957
13,-1.0,0.156,0.38447284454248054
14,-1.0,0.168,0.4009644306093545
15,-1.0,0.18,0.39168628551317053
16,-1.0,0.192,0.3991834753083237
17,-1.0,0.204,0.39893783287668416
18,-1.0,0.21600000000000003,0.4009362056865839
19,-1.0,0.228,0.40033253614580694
20,-1.0,0.24,0.3996777514174483
21,-1.0,0.252,0.3976397481848016
22,-1.0,0.264,0.37724435478155294
23,-1.0,0.276,0.364393927607756
24,-1.0,0.28800000000000003,0.3628586109320603
25,-1.0,0.3,0.3519190420430187
26,-1.0,0.312,0.3573516485104691
27,-1.0,0.324,0.34992435383911474
28,-1.0,0.336,0.33390442505217627
29,-1.0,0.34800000000000003,0.3488907271547902
30,-1.0,0.36,0.3447776827500767
31,-1.0,0.37200000000000005,0.328641549885834
32,-1.0,0.384,0.3269132716072186
33,-1.0,0.396,0.32051225771117237
34,-1.0,0.408,0.33109486585539694
35,-1.0,0.42,0.3283255712618274
36,-1.0,0.43200000000000005,0.3172086529766718
37,-1.0,0.444,0.32172474766726833
38,-1.0,0.456,0.31591633414644704
39,-1.0,0.46799999999999997,0.30693363723126055
40,-1.0,0.48,0.3138346553699984
41,-1.0,0.49200000000000005,0.31212939914322757
42,-1.0,0.504,0.30399955921670585
43,-1.0,0.516,0.30896845308420573
44,-1.0,0.528,0.3120561892801829
45,-1.0,0.54,0.3031980624381171
46,-1.0,0.552,0.30005014106163275
47,-1.0,0.5640000000000001,0.30113134860657936
48,-1.0,0.5760000000000001,0.3029612871989689
49,-1.0,0.588,0.30630313461346753
50,-1.0,0.6,0.2930776711590717
51,-1.0,0.612,0.28502244124160525
52,-1.0,0.624,0.29201793498003054
53,-1.0,0.636,0.28480243972139063
54,-1.0,0.648,0.28106991602763826
55,-1.0,0.66,0.2898319661626859
56,-1.0,0.672,0.2889766369485265
57,-1.0,0.684,0.2810320372670518
58,-1.0,0.6960000000000001,0.28237011576348636
59,-1.0,0.708,0.2844342121467545
60,-1.0,0.72,0.2769152590539188
61,-1.0,0.732,0.26771333280650844
62,-1.0,0.7440000000000001,0.2790635256813267
63,-1.0,0.7559999999999999,0.2810893961948017
64,-1.0,0.768,0.2816580541925068
65,-1.0,0.78,0.2805489755478945
66,-1.0,0.792,0.27858105933783434
67,-1.0,0.804,0.2665975602411338
68,-1.0,0.8160000000000001,0.27127090352753347
69,-1.0,0.8280000000000001,0.2766303995467982
70,-1.0,0.84,0.27121566487233917
71,-1.0,0.852,0.2753523678890546
72,-1.0,0.8640000000000001,0.2588038595514368
73,-1.0,0.8759999999999999,0.26303184420586345
74,-1.0,0.888,0.2558241263182539
75,-1.0,0.9,0.25791763206869095
76,-1.0,0.912,0.26479731469389045
77,-1.0,0.924,0.26184156502713823
78,-1.0,0.9359999999999999,0.2622948796167935
79,-1.0,0.948,0.26541465196412006
80,-1.0,0.96,0.24938852517054116
81,-1.0,0.972,0.2547133002402221
82,-1.0,0.9840000000000001,0.2632293053437712
83,-1.0,0.996,0.26174688742890384
84,-1.0,1.008,0.2693166988736947
85,-1.0,1.02,0.3012199010297259
86,-1.0,1.032,0.3186228367563062
87,-1.0,1.044,0.3259356094286619
88,-1.0,1.056,0.33956587268095884
89,-1.0,1.068,0.3522228899717428
90,-1.0,1.08,0.34583795148448987
91,-1.0,1.092,0.36041672889500886
92,-1.0,1.104,0.35584161053543095
93,-1.0,1.1159999999999999,0.3609887900796738
94,-1.0,1.128,0.367907130319527
95,-1.0,1.14,0.3580718606366428
96,-1.0,1.152,0.37087793906150274
97,-1.0,1.1640000000000001,0.373154102850744
98,-1.0,1.176,0.37832550190330355
99,-1.0,1.188,0.3832093320799106
100,-1.0,1.2,0.37224558067059393
101,-1.0,1.212,0.37552780400117536
102,-1.0,1.224,0.3793392385027031
103,-1.0,1.236,0.3758791590198598
104,-1.0,1.248,0.36856313424105247
105,-1.0,1.26,0.39258909466845066
106,-1.0,1.272,0.3885496711884907
107,-1.0,1.284,0.380509445664585
108,-1.0,1.296,0.38045580925837486
109,-1.0,1.308,0.3876947532646707
110,-1.0,1.32,0.38296015671703953
111,-1.0,1.3319999999999999,0.3820673283370481
112,-1.0,1.344,0.37921829486637215
113,-1.0,1.3559999999999999,0.38476377295216885
