 ******* Program HYDRUS
 ******* 
 Infiltration of water into soil profile                                 
 Date:   1. 9.    Time:  12:30:57
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  207     20.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  208     20.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  209     20.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  210     20.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  211     21.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  212     21.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  213     21.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  214     21.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  215     21.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  216     21.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  217     21.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  218     21.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  219     21.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  220     21.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  221     22.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  222     22.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  223     22.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  224     22.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  225     22.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  226     22.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  227     22.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  228     22.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  229     22.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  230     22.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  231     23.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  232     23.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  233     23.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  234     23.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  235     23.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  236     23.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  237     23.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  238     23.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  239     23.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  240     23.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  241     24.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  242     24.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  243     24.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  244     24.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  245     24.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  246     24.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  247     24.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  248     24.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  249     24.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  250     24.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  251     25.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  252     25.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  253     25.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  254     25.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  255     25.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  256     25.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  257     25.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  258     25.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  259     25.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  260     25.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  261     26.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  262     26.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  263     26.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  264     26.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  265     26.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  266     26.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  267     26.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  268     26.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  269     26.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  270     26.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  271     27.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  272     27.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  273     27.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  274     27.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  275     27.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  276     27.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  277     27.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  278     27.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  279     27.80     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  280     27.90     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  281     28.00     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  282     28.10     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  283     28.20     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  284     28.30     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  285     28.40     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  286     28.50     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  287     28.60     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
  288     28.70     0.065     0.410       0.0   0.106E+03     1.000     0.000     1.000     1.000     1.000
